Fase1;Fase2;Genero;Uso de la mano;Turno
48;71;F ;D ;T
72;74;F;D ;T
50;60;M;Z ;N
70;84;F ;A ;N
65;72;M ;Z ;N
83;84;M ;D ;T
77;73;F ;D ;T
78;81;M ;A ;N
80;84;M ;A ;N
93;92;M ;Z ;N
77;83;F ;Z ;N
57;67;F ;D ;T
70;66;M ;D ;T
59;75;F ;A ;N
85;79;F ;D ;T
74;82;M ;Z ;N
78;93;M ;Z ;T
79;90;F ;D ;T
91;101;M ;D ;N 
102;80;M ;D;T
79;69;F ;D ;N
76;94;F ;D ;N
71;97;F ;D ;T
95;83;M ;A ;T
86;69;M ;Z ;T
65;76;F ;D ;N
72;87;F ;Z ;T
85;65;F ;Z ;N
76;76;M ;Z ;T
75;98;F ;D ;N
67;99;F ;D ;N
56;59;F ;D ;T
90;93;F ;D ;T
45;56;M ;Z ;T 
